state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
OR,60000,32,1920000,845000,2.16,4147000,2012
PA,16000,60,960000,269000,2.57,2467000,2012
SD,260000,63,16380000,3604000,1.95,31941000,2012
TN,6000,61,366000,59000,2.93,1072000,2012
TX,92000,52,4784000,718000,2,9568000,2012
UT,25000,38,950000,209000,1.87,1777000,2012
VT,4000,60,240000,53000,2.39,574000,2012
VA,4000,41,164000,23000,3.77,618000,2012
WA,62000,41,2542000,1017000,2.38,6050000,2012
WV,6000,48,288000,95000,2.91,838000,2012
WI,60000,69,4140000,1863000,2.05,8487000,2012
WY,50000,51,2550000,459000,1.87,4769000,2012
