when,domain,url,tracker
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Smaato
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Krux Digital
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Nexage
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,sovrn (formerly Lijit Networks)
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,SpotXchange
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,BrightRoll
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,AppNexus
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,eXelate
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,AddThis
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Yahoo Ad Exchange
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Lotame
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,OpenX
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,OwnerIQ
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,OwnerIQ
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,PubMatic
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,PulsePoint
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,TubeMogul
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Q1Media
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,VigLink
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Index Exchange (Formerly Casale Media)
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,LiveRamp
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Rubicon
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Content.ad
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Advertising.com
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,VigLink
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Adobe Audience Manager
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,DoubleClick
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Google Syndication
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Google Dynamic Remarketing
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,DoubleClick Ad Exchange-Seller
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Google AdWords Conversion
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,AddThis
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,Google Adsense
march-2017,empirenews.net,http://empirenews.net/state-of-florida-passes-law-which-makes-nudity-legal-at-all-public-beaches/,DoubleClick Ad Exchange-Buyer
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,DoubleClick
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,Media Innovation Group
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,DoubleClick
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,Google Syndication
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,DoubleClick Ad Exchange-Seller
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,Google Adsense
march-2017,en.mediamass.net,http://en.mediamass.net/people/rage-against-the-machine/new-album.html,Google Adsense
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,ScoreCard Research Beacon
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,Spoutable
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,DoubleClick
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,Quantcast
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,RevContent
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,DoubleClick
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,Google Syndication
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,DoubleClick Ad Exchange-Seller
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,Kixer
march-2017,everydaybreakingnews.com,http://everydaybreakingnews.com/white-woman-gives-birth-to-black-baby-claims-ghost-of-black-man-impregnated-her/,Google Adsense
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,ScoreCard Research Beacon
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,DoubleClick
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,BlueKai
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,Quantcast
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,eXelate
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,Lotame
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,RevContent
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,DoubleClick
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,Google Syndication
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,DoubleClick Ad Exchange-Seller
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,Kixer
march-2017,fedsalert.com,http://fedsalert.com/donald-trump-dead-from-a-fatal-heart-attack/,Google Adsense
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,DoubleClick
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,RevContent
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,DoubleClick
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,Google Syndication
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,DoubleClick Ad Exchange-Seller
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,Kixer
march-2017,folksvideo.com,http://folksvideo.com/man-stomps-2-year-old-girl-to-death-in-broad-daylight-no-one-helps-video/,Google Adsense
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,BlueKai
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,DoubleClick
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,BlueKai
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,Acxiom
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,Acxiom
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,eXelate
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,Lotame
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,RevContent
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,MediaMath
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,LiveRamp
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,DoubleClick
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,Google Syndication
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,DoubleClick Ad Exchange-Seller
march-2017,jokerviral.com,http://jokerviral.com/woman-savagely-beaten-raped-run-over-by-6-men-in-texas-video/,Google Adsense
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,ScoreCard Research Beacon
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,DoubleClick
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,AddThis
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,DoubleClick
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,DoubleClick Ad Exchange-Seller
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,AddThis
march-2017,kata33.com,http://kata33.com/papillion-nebraska/patrick-dempsey-explains-why-hes-moving-to-papillion-nebraska/,Google Adsense
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,ScoreCard Research Beacon
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,BlueKai
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,DoubleClick
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,BlueKai
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Acxiom
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Acxiom
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Taboola
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,eXelate
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,AddThis
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Lotame
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,AWeber
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,MediaMath
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,LiveRamp
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,DoubleClick
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Google Syndication
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,DoubleClick Ad Exchange-Seller
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Kixer
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,AddThis
march-2017,mrnewswatch.com,http://mrnewswatch.com/mcdonalds-employee-admits-to-ejaculating-in-big-mac-secret-sauce-for-2-years/,Google Adsense
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,ScoreCard Research Beacon
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,DoubleClick
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,Quantcast
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,Lanista Concepts
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,Taboola
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,Q1Media
march-2017,nationalreport.net,http://nationalreport.net/emi-sue-kim-davis-mike-huckabee-unauthorized-public-performance-song-eye-tiger/,DoubleClick
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Tapad
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,ScoreCard Research Beacon
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Turn Inc.
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,BidSwitch
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,DoubleClick
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,StickyAds
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,BrightRoll
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,ShareThis
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Aggregate Knowledge
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,BlueKai
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Krux Digital
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Nexage
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,sovrn (formerly Lijit Networks)
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,BrightRoll
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,AppNexus
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,eXelate
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Yahoo Ad Exchange
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Lotame
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,OpenX
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,OwnerIQ
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,OwnerIQ
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,PubMatic
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,PulsePoint
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Index Exchange (Formerly Casale Media)
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,LiveRamp
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Rubicon
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Content.ad
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,Adobe Audience Manager
march-2017,news4ktla.com,http://news4ktla.com/massive-tuna-recall/,DoubleClick
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Tapad
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Admeta
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,ScoreCard Research Beacon
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Turn Inc.
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Sonobi
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,BlueKai
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,BidSwitch
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,DoubleClick
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Adform
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,StickyAds
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,BrightRoll
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,AdGear
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,ShareThis
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Aggregate Knowledge
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,SMART AdServer
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,TradeDesk
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,i-Behavior
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Videology
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,SiteScout
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,DataXu
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,BlueKai
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Switch Concepts
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,MediaMath
march-2017,newsexaminer.net,http://newsexaminer.net/nba/michael-jordan-will-move-hornets-30-days-north-carolina-doesnt-revoke-hb2/,Krux Digital
