Timestamp,Gender,Faculty,Engineering Program,Law Program,Business Program,Arts Program,Other Program,Bachelor  Academic Year in EU,Masters Academic Year in EU,H.S.C or Equivalent study medium,S.S.C (GPA),H.S.C (GPA),Did you ever attend a Coaching center?,Coaching center name,Benifits you received from the coaching center,1st Year Semester 1,1st Year Semester 2,1st Year Semester 3,2nd Year Semester 1,2nd Year Semester 2,2nd Year Semester 3,3rd Year Semester 1,3rd Year Semester 2,3rd Year Semester 3,4th Year Semester 1,4th Year Semester 2,4th Year Semester 3,Regular/Irregular,Classes are mostly,Area1,Area2,Area3,Area4,Area5,Area6,Area7,Area8,Area9,Area10,Area11,Area12,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Q1,Q2,Q3,Q4,Q5,Q6 [What are the best aspects of the program?],"Q7. In your opinion,the best aspect of the program is","Q8. In your opinion,the next best aspect of the program is",What aspects of the program could be improved?,Do you feel that the quality of education improved at EU over the last year?,Do you feel that the image of the University improved over the last year?,Username
1/25/2016 14:37,Male,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,4.88,4.4,No,,,3,2.85,2.89,2.85,2.84,2.83,2.84,2.85,2.81,,,,0,Lecture & Discussion,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,2,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
1/25/2016 14:38,Female,Arts,,,,B.A. in English,,4th Year,,Bangla Medium,4.56,4.5,No,,,2.66,2.68,2.68,2.63,2.57,2.58,2.58,2.59,2.61,2.6,,,0,,4,5,4,4,4,5,4,5,4,4,5,5,5,4,4,4,4,5,4,3,3,4,5,5,4,5,5,5,4,4,4,4,4,4,5,5,5,4,4,4,4,5,3,3,3,5,4,4,4,5,5,Faculty,Faculty,Teaching/Learning,Yes,Yes,
1/25/2016 14:40,Male,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,4.25,3,No,,,2.05,1.89,2.41,2.43,2.16,2.34,2.21,2.24,2.31,,,,0,Lecture & Discussion,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,,5,4,5,4,5,5,4,3,3,5,4,4,5,5,5,4,5,5,4,4,4,5,5,5,5,4,5,4,5,5,4,4,5,3,Teaching/Learning,Teaching/Learning,Faculty,Yes,Yes,
1/25/2016 14:43,Male,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,3.38,3.6,No,,,1.14,1.45,2.23,2.39,2.08,2.19,2.19,2.24,,,,,0,Lecture & Discussion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,3,4,4,4,4,5,4,5,4,5,4,4,4,4,5,5,5,4,3,4,5,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
1/25/2016 14:45,Female,Arts,,,,B.A. in English,,4th Year,,Bangla Medium,5,4.7,Yes,Ratina medical coaching center,It increased my desire to learn,3.75,3.75,3.77,3.76,3.79,3.8,3.79,3.77,3.77,,,,0,Lecture & Discussion,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,4,3,2,Teaching/Learning,Faculty,Overall learning environment,Yes,Yes,
1/25/2016 14:47,Female,Arts,,,,B.A. in English,,4th Year,,Bangla Medium,4.44,4.4,No,,,3.7,3.38,3.42,3.45,3.48,3.5,3.47,3.45,3.43,,,,0,Lecture & Discussion,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,3,4,5,5,Faculty,Overall learning environment,Faculty,Yes,Yes,
1/25/2016 14:47,Female,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,2.75,3.1,Yes,ucc,It prepared me better for the exam,2.8,2.78,2.82,2.8,2.79,2.79,2.72,2.73,2.71,,,,0,Lecture & Discussion,5,4,5,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,4,5,5,4,5,2,3,4,4,3,5,4,2,3,4,5,4,5,4,5,4,4,5,3,4,4,5,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
1/25/2016 14:51,Female,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,4.06,3.6,Yes,saifur's ,It improved my understanding of subject matter,2.64,2.67,2.7,2.49,2.47,,,,,,,,0,Lecture & Discussion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,Faculty,Faculty,Faculty,Yes,Yes,
1/25/2016 14:53,Male,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,4.13,4.4,Yes,"sunrise coaching center, farmget.",It prepared me better for the exam,2.73,2.84,2.96,2.93,2.92,,,,,,,,0,"Lecture,Discussion & Practical Lab",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,Resources,Resources,Resources,Yes,Yes,
1/25/2016 14:59,Female,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,4.5,4.9,Yes,uni aid coaching,It prepared me better for the exam,3.07,3.13,3.34,3.29,,,,,,,,,0,"Lecture,Discussion & Practical Lab",5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,Resources,Resources,Resources,Yes,Yes,
1/25/2016 15:06,Female,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,4.88,4.6,Yes,MABS Coaching center ,It prepared me better for the exam,3.75,3.61,3.49,3.52,3.38,3.34,3.14,,,,,,0,Lecture & Discussion,5,4,5,4,4,4,4,3,4,5,5,4,5,5,5,4,4,4,5,5,4,5,5,4,4,5,4,3,3,3,3,3,1,4,5,4,5,4,4,4,3,3,3,3,3,5,4,3,3,3,5,Faculty,Teaching/Learning,Resources,Yes,Yes,
1/25/2016 15:07,Female,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,4.81,5,Yes,Udvash,It improved my understanding of subject matter,3.58,3.48,3.48,3.4,3.4,3.43,3.4,3.37,,,,,0,Lecture & Discussion,5,4,5,5,5,4,5,3,4,4,5,5,4,4,5,5,5,4,5,5,5,4,4,5,5,4,4,3,4,2,4,3,3,4,4,4,5,5,5,4,5,4,4,5,5,4,3,2,3,3,3,Teaching/Learning,Faculty,"Faculty, Resources, Overall learning environment",Yes,No,
1/25/2016 15:08,Male,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,3.81,4,Yes,Unaid,It improved my understanding of subject matter,2.7,3.03,2.82,2.81,2.74,,,,,,,,0,"Lecture,Discussion & Practical Lab",4,4,4,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,5,4,5,5,4,4,5,5,4,4,4,5,4,3,4,4,4,3,4,5,3,4,5,4,3,4,4,3,Teaching/Learning,Resources,Resources,Yes,Yes,
1/25/2016 15:11,Female,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,3.75,3.7,Yes,ucc,It improved my understanding of subject matter,1.64,1.83,2.06,2.36,2.4,2.42,,,,,,,0,Lecture & Discussion,5,5,5,4,5,4,4,5,5,5,4,5,5,4,5,5,5,5,4,5,4,5,4,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,3,4,4,3,Teaching/Learning,Teaching/Learning,Overall learning environment,Yes,Yes,
1/25/2016 15:13,Female,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,4.1,4,Yes,apex,It prepared me better for the exam,2.45,2.83,2.41,2.67,2.68,2.72,,,,,,,0,Lecture & Discussion,4,4,3,5,5,4,2,4,4,5,4,5,5,5,4,3,5,4,4,5,4,5,1,5,4,5,5,5,5,4,4,4,5,4,4,4,5,5,5,4,4,1,3,4,4,5,5,2,3,5,3,Teaching/Learning,Teaching/Learning,Overall learning environment,Yes,Yes,
1/25/2016 15:13,Female,Arts,,,,B.A. in English,,3rd Year,,Bangla Medium,4.19,4.7,Yes,,It prepared me better for the exam,3.59,3.65,3.57,3.59,3.57,3.57,3.54,,,,,,0,Lecture & Discussion,4,4,3,5,5,2,5,2,4,5,4,5,2,5,5,4,5,4,5,5,5,4,5,5,4,4,5,4,1,4,2,1,1,1,4,5,3,4,5,5,4,2,4,5,4,5,3,1,4,3,5,Faculty,Teaching/Learning,Resources,No,No,
1/25/2016 15:30,Female,Arts,,,,B.A. in English,,2nd Year,,Bangla Medium,3.81,3.3,Yes,Udvash,"It prepared me better for the exam, It improved my understanding of subject matter, It increased my desire to learn",3.16,3.56,3.54,3.55,3.55,3.57,,,,,,,0,Lecture & Discussion,4,4,1,4,4,5,5,5,3,4,5,4,4,5,5,5,5,1,2,4,4,5,4,2,5,1,5,5,5,1,5,4,4,4,4,2,4,5,3,5,4,2,1,1,4,5,3,3,3,3,5,Faculty,Teaching/Learning,Teaching/Learning,No,Yes,
