Entity,Code,Year,Avocados | 00000572 || Production | 005510 || tonnes
Low Income Food Deficit Countries (FAO),,1983,184480
Low Income Food Deficit Countries (FAO),,1984,190419
Low Income Food Deficit Countries (FAO),,1985,190600
Low Income Food Deficit Countries (FAO),,1986,194200
Low Income Food Deficit Countries (FAO),,1987,200900
Low Income Food Deficit Countries (FAO),,1988,204200
Low Income Food Deficit Countries (FAO),,1989,208800
Low Income Food Deficit Countries (FAO),,1990,206098
Low Income Food Deficit Countries (FAO),,1991,230283.27
Low Income Food Deficit Countries (FAO),,1992,236792.5
Low Income Food Deficit Countries (FAO),,1993,265921.1
Low Income Food Deficit Countries (FAO),,1994,248437.9
Low Income Food Deficit Countries (FAO),,1995,235195.61
Low Income Food Deficit Countries (FAO),,1996,240065.55
Low Income Food Deficit Countries (FAO),,1997,253752.38
Low Income Food Deficit Countries (FAO),,1998,268082.25
Low Income Food Deficit Countries (FAO),,1999,276250.75
Low Income Food Deficit Countries (FAO),,2000,351578.34
Low Income Food Deficit Countries (FAO),,2001,289408.7
Low Income Food Deficit Countries (FAO),,2002,299169.25
Low Income Food Deficit Countries (FAO),,2003,320438.62
Low Income Food Deficit Countries (FAO),,2004,328546.6
Low Income Food Deficit Countries (FAO),,2005,372949.75
Low Income Food Deficit Countries (FAO),,2006,385746.88
Low Income Food Deficit Countries (FAO),,2007,389543.3
Low Income Food Deficit Countries (FAO),,2008,383613.9
Low Income Food Deficit Countries (FAO),,2009,445061.4
Low Income Food Deficit Countries (FAO),,2010,528888.8
Low Income Food Deficit Countries (FAO),,2011,513280.25
Low Income Food Deficit Countries (FAO),,2012,500220.12
Low Income Food Deficit Countries (FAO),,2013,516698.7
Low Income Food Deficit Countries (FAO),,2014,694711.25
Low Income Food Deficit Countries (FAO),,2015,713321.5
Low Income Food Deficit Countries (FAO),,2016,915915.6
Low Income Food Deficit Countries (FAO),,2017,932156.94
Low Income Food Deficit Countries (FAO),,2018,986044.2
Low Income Food Deficit Countries (FAO),,2019,1010644.25
Low Income Food Deficit Countries (FAO),,2020,1239896.4
Low Income Food Deficit Countries (FAO),,2021,1364704.2
Low-income countries,,1961,14200
Low-income countries,,1962,14200
Low-income countries,,1963,12200
Low-income countries,,1964,12200
Low-income countries,,1965,16250
Low-income countries,,1966,16250
Low-income countries,,1967,17260
Low-income countries,,1968,18250
Low-income countries,,1969,18450
Low-income countries,,1970,20200
Low-income countries,,1971,19944
Low-income countries,,1972,22957
Low-income countries,,1973,25170
Low-income countries,,1974,34255
Low-income countries,,1975,48115
Low-income countries,,1976,40125
Low-income countries,,1977,41640
Low-income countries,,1978,43405
Low-income countries,,1979,49820
Low-income countries,,1980,54100
Low-income countries,,1981,52600
Low-income countries,,1982,53660
Low-income countries,,1983,56480
Low-income countries,,1984,58319
Low-income countries,,1985,59300
Low-income countries,,1986,61300
Low-income countries,,1987,63900
Low-income countries,,1988,65000
Low-income countries,,1989,67500
Low-income countries,,1990,63800
Low-income countries,,1991,94962
Low-income countries,,1992,101611
Low-income countries,,1993,108853
Low-income countries,,1994,114134
Low-income countries,,1995,85743
Low-income countries,,1996,84620
Low-income countries,,1997,87556
Low-income countries,,1998,92312
Low-income countries,,1999,95613
Low-income countries,,2000,171532
Low-income countries,,2001,106440.78
Low-income countries,,2002,106721.3
Low-income countries,,2003,110093.87
Low-income countries,,2004,110504.72
Low-income countries,,2005,123944.62
Low-income countries,,2006,131325
Low-income countries,,2007,141789
Low-income countries,,2008,135662
Low-income countries,,2009,143624.48
Low-income countries,,2010,160075.08
Low-income countries,,2011,180813
Low-income countries,,2012,129442.09
Low-income countries,,2013,124208.79
Low-income countries,,2014,250766.2
Low-income countries,,2015,261227.55
Low-income countries,,2016,258924.77
Low-income countries,,2017,282649.66
Low-income countries,,2018,283895.25
Low-income countries,,2019,303146.1
Low-income countries,,2020,444092.8
Low-income countries,,2021,351234.34
Lower-middle-income countries,,1961,150496
Lower-middle-income countries,,1962,152643
Lower-middle-income countries,,1963,155093
Lower-middle-income countries,,1964,163323
Lower-middle-income countries,,1965,166660
Lower-middle-income countries,,1966,186294
Lower-middle-income countries,,1967,189922
Lower-middle-income countries,,1968,191528
Lower-middle-income countries,,1969,183952
Lower-middle-income countries,,1970,182281
Lower-middle-income countries,,1971,175739
Lower-middle-income countries,,1972,193413
Lower-middle-income countries,,1973,193524
Lower-middle-income countries,,1974,213570
Lower-middle-income countries,,1975,222950
Lower-middle-income countries,,1976,216817
Lower-middle-income countries,,1977,236911
Lower-middle-income countries,,1978,227845
Lower-middle-income countries,,1979,226460
Lower-middle-income countries,,1980,236336
Lower-middle-income countries,,1981,262387
Lower-middle-income countries,,1982,246579
Lower-middle-income countries,,1983,241333
Lower-middle-income countries,,1984,259766
Lower-middle-income countries,,1985,263188
Lower-middle-income countries,,1986,275646
Lower-middle-income countries,,1987,264246
Lower-middle-income countries,,1988,272614
Lower-middle-income countries,,1989,276152
Lower-middle-income countries,,1990,305480
Lower-middle-income countries,,1991,326816.22
Lower-middle-income countries,,1992,331288.88
Lower-middle-income countries,,1993,351883.62
Lower-middle-income countries,,1994,340605.66
Lower-middle-income countries,,1995,417580.84
Lower-middle-income countries,,1996,405740.3
Lower-middle-income countries,,1997,402515.75
Lower-middle-income countries,,1998,408236.66
Lower-middle-income countries,,1999,412733.12
Lower-middle-income countries,,2000,429330.28
Lower-middle-income countries,,2001,411480.16
Lower-middle-income countries,,2002,502383.28
Lower-middle-income countries,,2003,531986.44
Lower-middle-income countries,,2004,504597.44
Lower-middle-income countries,,2005,537258.3
Lower-middle-income countries,,2006,549072.06
Lower-middle-income countries,,2007,505392.8
Lower-middle-income countries,,2008,550743.44
Lower-middle-income countries,,2009,625306.4
Lower-middle-income countries,,2010,670148.75
Lower-middle-income countries,,2011,688711
Lower-middle-income countries,,2012,769920.5
Lower-middle-income countries,,2013,764479.5
Lower-middle-income countries,,2014,849177.44
Lower-middle-income countries,,2015,945834.5
Lower-middle-income countries,,2016,1072908.4
Lower-middle-income countries,,2017,1145681.2
Lower-middle-income countries,,2018,1268974.5
Lower-middle-income countries,,2019,1329101.2
Lower-middle-income countries,,2020,1565071.1
Lower-middle-income countries,,2021,1842283.5
Luxembourg,LUX,2018,0
Luxembourg,LUX,2019,0
Luxembourg,LUX,2020,0
Luxembourg,LUX,2021,0
Madagascar,MDG,1969,150
Madagascar,MDG,1970,400
Madagascar,MDG,1971,794
Madagascar,MDG,1972,3007
Madagascar,MDG,1973,3670
Madagascar,MDG,1974,12055
Madagascar,MDG,1975,25215
Madagascar,MDG,1976,16625
Madagascar,MDG,1977,19040
Madagascar,MDG,1978,20805
Madagascar,MDG,1979,13820
Madagascar,MDG,1980,17400
Madagascar,MDG,1981,14400
Madagascar,MDG,1982,14760
Madagascar,MDG,1983,16080
Madagascar,MDG,1984,17119
Madagascar,MDG,1985,17300
Madagascar,MDG,1986,18000
Madagascar,MDG,1987,19000
Madagascar,MDG,1988,19000
Madagascar,MDG,1989,20000
Madagascar,MDG,1990,21000
Madagascar,MDG,1991,21000
Madagascar,MDG,1992,21500
Madagascar,MDG,1993,22000
Madagascar,MDG,1994,20000
Madagascar,MDG,1995,21000
Madagascar,MDG,1996,22000
Madagascar,MDG,1997,23000
Madagascar,MDG,1998,23000
Madagascar,MDG,1999,24000
Madagascar,MDG,2000,23000
Madagascar,MDG,2001,23142.78
Madagascar,MDG,2002,23078.3
Madagascar,MDG,2003,23532.87
Madagascar,MDG,2004,23546
Madagascar,MDG,2005,23992.81
Madagascar,MDG,2006,24000
Madagascar,MDG,2007,25000
Madagascar,MDG,2008,24000
Madagascar,MDG,2009,24561.49
Madagascar,MDG,2010,25060.08
Madagascar,MDG,2011,25385.42
Madagascar,MDG,2012,26000
Madagascar,MDG,2013,25900
Madagascar,MDG,2014,26039.54
Madagascar,MDG,2015,26228.2
Madagascar,MDG,2016,26368.73
Madagascar,MDG,2017,26544.88
Madagascar,MDG,2018,26860.97
Madagascar,MDG,2019,26961.7
Madagascar,MDG,2020,27135.07
Madagascar,MDG,2021,27309.59
Malawi,MWI,2014,92400
Malawi,MWI,2015,95337
Malawi,MWI,2016,86769
Malawi,MWI,2017,97358
Malawi,MWI,2018,92239
Malawi,MWI,2019,93299.28
Malawi,MWI,2020,93564.9
Malawi,MWI,2021,93872.16
Malaysia,MYS,2017,0
Malaysia,MYS,2018,223
Malaysia,MYS,2019,122
Malaysia,MYS,2020,210
Malaysia,MYS,2021,269
Malta,MLT,2018,0
Malta,MLT,2019,0
Malta,MLT,2020,0
Malta,MLT,2021,0
Martinique,MTQ,1961,1400
Martinique,MTQ,1962,1500
Martinique,MTQ,1963,1500
Martinique,MTQ,1964,1700
Martinique,MTQ,1965,1600
Martinique,MTQ,1966,1800
Martinique,MTQ,1967,1800
Martinique,MTQ,1968,2000
Martinique,MTQ,1969,2000
Martinique,MTQ,1970,2000
Martinique,MTQ,1971,1800
Martinique,MTQ,1972,1500
Martinique,MTQ,1973,1327
Martinique,MTQ,1974,1623
Martinique,MTQ,1975,1835
Martinique,MTQ,1976,2389
Martinique,MTQ,1977,1470
Martinique,MTQ,1978,1890
Martinique,MTQ,1979,1095
Martinique,MTQ,1980,610
Martinique,MTQ,1981,1135
Martinique,MTQ,1982,3951
Martinique,MTQ,1983,2826
Martinique,MTQ,1984,6500
Martinique,MTQ,1985,4850
Martinique,MTQ,1986,3234
Martinique,MTQ,1987,2422
Martinique,MTQ,1988,2322
Martinique,MTQ,1989,1809
Martinique,MTQ,1990,1066
Martinique,MTQ,1991,1202
Martinique,MTQ,1992,650
Martinique,MTQ,1993,573
Martinique,MTQ,1994,573
Martinique,MTQ,1995,522
Martinique,MTQ,1996,420
Martinique,MTQ,1997,318
Martinique,MTQ,1998,363
Martinique,MTQ,1999,363
Martinique,MTQ,2000,384
Martinique,MTQ,2001,381
Martinique,MTQ,2002,360
Martinique,MTQ,2003,248
Martinique,MTQ,2004,429
Martinique,MTQ,2005,462
Martinique,MTQ,2006,462
Mauritius,MUS,1991,0
Mauritius,MUS,1992,0
Mauritius,MUS,1993,0
Mauritius,MUS,1994,0
Mauritius,MUS,1995,0
Mauritius,MUS,1996,0
Mauritius,MUS,1997,0
Mauritius,MUS,1998,0
Mauritius,MUS,1999,0
Mauritius,MUS,2000,0
Mauritius,MUS,2001,0
Mauritius,MUS,2002,0
Mauritius,MUS,2003,0
Mauritius,MUS,2004,0
Mauritius,MUS,2005,0
Mauritius,MUS,2006,0
Mauritius,MUS,2007,0
Mauritius,MUS,2008,0
Mauritius,MUS,2009,0
Mauritius,MUS,2010,0
Mauritius,MUS,2011,0
Mauritius,MUS,2012,0
Mauritius,MUS,2013,0
Mauritius,MUS,2014,0
Mauritius,MUS,2015,0
Mauritius,MUS,2016,0
Mauritius,MUS,2017,0
Mauritius,MUS,2018,0
Mauritius,MUS,2019,0
Mauritius,MUS,2020,0
Mauritius,MUS,2021,0
Mexico,MEX,1961,108057
Mexico,MEX,1962,112934
Mexico,MEX,1963,130046
Mexico,MEX,1964,131721
Mexico,MEX,1965,161910
Mexico,MEX,1966,169510
Mexico,MEX,1967,173899
Mexico,MEX,1968,192307
Mexico,MEX,1969,201739
Mexico,MEX,1970,226034
Mexico,MEX,1971,236791
Mexico,MEX,1972,234270
Mexico,MEX,1973,286443
Mexico,MEX,1974,260890
Mexico,MEX,1975,279470
Mexico,MEX,1976,280421
Mexico,MEX,1977,333112
Mexico,MEX,1978,395168
Mexico,MEX,1979,365957
Mexico,MEX,1980,441768
Mexico,MEX,1981,460879
Mexico,MEX,1982,486056
Mexico,MEX,1983,426618
Mexico,MEX,1984,439418
Mexico,MEX,1985,566451
Mexico,MEX,1986,627906
Mexico,MEX,1987,520837
Mexico,MEX,1988,682928
Mexico,MEX,1989,473156
Mexico,MEX,1990,686301
Mexico,MEX,1991,780403
Mexico,MEX,1992,724523
Mexico,MEX,1993,709296
Mexico,MEX,1994,799929
Mexico,MEX,1995,790097
Mexico,MEX,1996,837787
Mexico,MEX,1997,762336
Mexico,MEX,1998,876623
Mexico,MEX,1999,879083
Mexico,MEX,2000,907439
Mexico,MEX,2001,940229
Mexico,MEX,2002,901075
Mexico,MEX,2003,905000
Mexico,MEX,2004,987000
Mexico,MEX,2005,1021515
Mexico,MEX,2006,1134250
Mexico,MEX,2007,1142892
Mexico,MEX,2008,1162429
Mexico,MEX,2009,1230973
Mexico,MEX,2010,1107135
Mexico,MEX,2011,1264141
Mexico,MEX,2012,1316104
Mexico,MEX,2013,1467837
Mexico,MEX,2014,1520694.5
Mexico,MEX,2015,1644225.9
Mexico,MEX,2016,1889353.5
Mexico,MEX,2017,2029885.9
Mexico,MEX,2018,2184663
Mexico,MEX,2019,2300889
Mexico,MEX,2020,2393848.5
Mexico,MEX,2021,2442944.8
Micronesia (country),FSM,1995,0
Micronesia (country),FSM,1996,0
Micronesia (country),FSM,1997,0
Micronesia (country),FSM,1998,0
Micronesia (country),FSM,1999,0
Micronesia (country),FSM,2000,0
Micronesia (country),FSM,2001,0
Micronesia (country),FSM,2002,0
Micronesia (country),FSM,2003,0
Micronesia (country),FSM,2004,0
Micronesia (country),FSM,2005,0
Micronesia (country),FSM,2006,0
Micronesia (country),FSM,2007,0
Micronesia (country),FSM,2008,0
Micronesia (country),FSM,2009,0
Micronesia (country),FSM,2010,0
Micronesia (country),FSM,2011,0
Micronesia (country),FSM,2012,0
Micronesia (country),FSM,2013,0
Micronesia (country),FSM,2014,0
Micronesia (country),FSM,2015,0
Micronesia (country),FSM,2016,0
Micronesia (country),FSM,2017,0
Micronesia (country),FSM,2018,0
Micronesia (country),FSM,2019,0
Micronesia (country),FSM,2020,0
Micronesia (country),FSM,2021,0
Middle Africa (FAO),,1961,32700
Middle Africa (FAO),,1962,33700
Middle Africa (FAO),,1963,31700
Middle Africa (FAO),,1964,32200
Middle Africa (FAO),,1965,36250
Middle Africa (FAO),,1966,37250
Middle Africa (FAO),,1967,38760
Middle Africa (FAO),,1968,40750
Middle Africa (FAO),,1969,40800
Middle Africa (FAO),,1970,43300
Middle Africa (FAO),,1971,43650
Middle Africa (FAO),,1972,46450
Middle Africa (FAO),,1973,43000
Middle Africa (FAO),,1974,43400
Middle Africa (FAO),,1975,49100
Middle Africa (FAO),,1976,50000
Middle Africa (FAO),,1977,50100
Middle Africa (FAO),,1978,51100
Middle Africa (FAO),,1979,65000
Middle Africa (FAO),,1980,66700
Middle Africa (FAO),,1981,68700
Middle Africa (FAO),,1982,70400
Middle Africa (FAO),,1983,72900
Middle Africa (FAO),,1984,74500
Middle Africa (FAO),,1985,76300
Middle Africa (FAO),,1986,78700
Middle Africa (FAO),,1987,82400
Middle Africa (FAO),,1988,84500
Middle Africa (FAO),,1989,87000
Middle Africa (FAO),,1990,83100
Middle Africa (FAO),,1991,117462
Middle Africa (FAO),,1992,125597.74
Middle Africa (FAO),,1993,134319.1
Middle Africa (FAO),,1994,143534
Middle Africa (FAO),,1995,115190.89
Middle Africa (FAO),,1996,114120
Middle Africa (FAO),,1997,117288
Middle Africa (FAO),,1998,119987
Middle Africa (FAO),,1999,122687
Middle Africa (FAO),,2000,122361
Middle Africa (FAO),,2001,121873.24
Middle Africa (FAO),,2002,122839
Middle Africa (FAO),,2003,123840.89
Middle Africa (FAO),,2004,125788.72
Middle Africa (FAO),,2005,128187.78
Middle Africa (FAO),,2006,129980
Middle Africa (FAO),,2007,129140
Middle Africa (FAO),,2008,132420
Middle Africa (FAO),,2009,132712
Middle Africa (FAO),,2010,136069.78
Middle Africa (FAO),,2011,143712.17
Middle Africa (FAO),,2012,153359.55
Middle Africa (FAO),,2013,154292.22
Middle Africa (FAO),,2014,154293.98
Middle Africa (FAO),,2015,152148.1
Middle Africa (FAO),,2016,153766.52
Middle Africa (FAO),,2017,153639.34
Middle Africa (FAO),,2018,156569.11
Middle Africa (FAO),,2019,155345.69
Middle Africa (FAO),,2020,155564.62
Middle Africa (FAO),,2021,155831.06
Morocco,MAR,1961,1000
Morocco,MAR,1962,1000
Morocco,MAR,1963,1000
Morocco,MAR,1964,1000
Morocco,MAR,1965,1000
Morocco,MAR,1966,1000
Morocco,MAR,1967,1000
Morocco,MAR,1968,1000
Morocco,MAR,1969,1000
Morocco,MAR,1970,1000
Morocco,MAR,1971,1000
Morocco,MAR,1972,1000
Morocco,MAR,1973,1000
Morocco,MAR,1974,1000
Morocco,MAR,1975,1000
Morocco,MAR,1976,1000
Morocco,MAR,1977,1000
Morocco,MAR,1978,1000
Morocco,MAR,1979,1000
Morocco,MAR,1980,1000
Morocco,MAR,1981,1000
Morocco,MAR,1982,1000
Morocco,MAR,1983,1000
Morocco,MAR,1984,1000
Morocco,MAR,1985,2000
Morocco,MAR,1986,2500
Morocco,MAR,1987,3000
Morocco,MAR,1988,3500
Morocco,MAR,1989,4000
Morocco,MAR,1990,4500
Morocco,MAR,1991,5000
Morocco,MAR,1992,5500
Morocco,MAR,1993,6000
Morocco,MAR,1994,7000
Morocco,MAR,1995,8000
Morocco,MAR,1996,9000
Morocco,MAR,1997,10000
Morocco,MAR,1998,11000
Morocco,MAR,1999,13000
Morocco,MAR,2000,13000
Morocco,MAR,2001,13600
Morocco,MAR,2002,13500
Morocco,MAR,2003,14500
Morocco,MAR,2004,15700
Morocco,MAR,2005,13400
Morocco,MAR,2006,16400
Morocco,MAR,2007,16896
Morocco,MAR,2008,19253
Morocco,MAR,2009,26000
Morocco,MAR,2010,33645
Morocco,MAR,2011,33519
Morocco,MAR,2012,54340
Morocco,MAR,2013,28079.5
Morocco,MAR,2014,31895.5
Morocco,MAR,2015,42732
Morocco,MAR,2016,42256
Morocco,MAR,2017,41695.34
Morocco,MAR,2018,51170
Morocco,MAR,2019,54576
Morocco,MAR,2020,69940
Morocco,MAR,2021,82369
Net Food Importing Developing Countries (FAO),,1961,316658
Net Food Importing Developing Countries (FAO),,1962,320170
Net Food Importing Developing Countries (FAO),,1963,323982
Net Food Importing Developing Countries (FAO),,1964,335585
Net Food Importing Developing Countries (FAO),,1965,342894
Net Food Importing Developing Countries (FAO),,1966,337147
Net Food Importing Developing Countries (FAO),,1967,354430
Net Food Importing Developing Countries (FAO),,1968,351043
Net Food Importing Developing Countries (FAO),,1969,371547
Net Food Importing Developing Countries (FAO),,1970,396110
Net Food Importing Developing Countries (FAO),,1971,397942
Net Food Importing Developing Countries (FAO),,1972,421231
Net Food Importing Developing Countries (FAO),,1973,430370
Net Food Importing Developing Countries (FAO),,1974,444869
Net Food Importing Developing Countries (FAO),,1975,451331
Net Food Importing Developing Countries (FAO),,1976,434330
Net Food Importing Developing Countries (FAO),,1977,444417
Net Food Importing Developing Countries (FAO),,1978,447003
Net Food Importing Developing Countries (FAO),,1979,452973
Net Food Importing Developing Countries (FAO),,1980,440399
Net Food Importing Developing Countries (FAO),,1981,450426
Net Food Importing Developing Countries (FAO),,1982,471544
Net Food Importing Developing Countries (FAO),,1983,474050
Net Food Importing Developing Countries (FAO),,1984,472266
Net Food Importing Developing Countries (FAO),,1985,450531
Net Food Importing Developing Countries (FAO),,1986,471208
Net Food Importing Developing Countries (FAO),,1987,473555
Net Food Importing Developing Countries (FAO),,1988,472827
Net Food Importing Developing Countries (FAO),,1989,496652
Net Food Importing Developing Countries (FAO),,1990,366016
Net Food Importing Developing Countries (FAO),,1991,403559.62
Net Food Importing Developing Countries (FAO),,1992,408689.62
Net Food Importing Developing Countries (FAO),,1993,432250.38
Net Food Importing Developing Countries (FAO),,1994,378417.84
Net Food Importing Developing Countries (FAO),,1995,385920.62
Net Food Importing Developing Countries (FAO),,1996,362229.97
Net Food Importing Developing Countries (FAO),,1997,404893.47
Net Food Importing Developing Countries (FAO),,1998,446643.94
Net Food Importing Developing Countries (FAO),,1999,477022.5
Net Food Importing Developing Countries (FAO),,2000,576273.75
Net Food Importing Developing Countries (FAO),,2001,529029.7
Net Food Importing Developing Countries (FAO),,2002,559457.6
Net Food Importing Developing Countries (FAO),,2003,711496.44
Net Food Importing Developing Countries (FAO),,2004,682776.5
Net Food Importing Developing Countries (FAO),,2005,621760.9
Net Food Importing Developing Countries (FAO),,2006,739483.9
Net Food Importing Developing Countries (FAO),,2007,745545.25
Net Food Importing Developing Countries (FAO),,2008,748208.06
Net Food Importing Developing Countries (FAO),,2009,830715.9
Net Food Importing Developing Countries (FAO),,2010,1066512.8
Net Food Importing Developing Countries (FAO),,2011,1110969.5
Net Food Importing Developing Countries (FAO),,2012,1170831.5
Net Food Importing Developing Countries (FAO),,2013,1276129.8
Net Food Importing Developing Countries (FAO),,2014,1659484.6
Net Food Importing Developing Countries (FAO),,2015,1729994.8
Net Food Importing Developing Countries (FAO),,2016,2096159.2
Net Food Importing Developing Countries (FAO),,2017,2192581
Net Food Importing Developing Countries (FAO),,2018,2207678
Net Food Importing Developing Countries (FAO),,2019,2304559.2
Net Food Importing Developing Countries (FAO),,2020,2537634
Net Food Importing Developing Countries (FAO),,2021,2729244.2
Netherlands,NLD,2018,0
Netherlands,NLD,2019,0
Netherlands,NLD,2020,0
Netherlands,NLD,2021,0
New Zealand,NZL,1974,19
New Zealand,NZL,1975,12
New Zealand,NZL,1976,30
New Zealand,NZL,1977,14
New Zealand,NZL,1978,78
New Zealand,NZL,1979,89
New Zealand,NZL,1980,67
New Zealand,NZL,1981,230
New Zealand,NZL,1982,320
New Zealand,NZL,1983,610
New Zealand,NZL,1984,660
New Zealand,NZL,1985,680
New Zealand,NZL,1986,800
New Zealand,NZL,1987,1000
New Zealand,NZL,1988,1300
New Zealand,NZL,1989,1188
New Zealand,NZL,1990,2477
New Zealand,NZL,1991,3208
New Zealand,NZL,1992,2030
New Zealand,NZL,1993,2500
New Zealand,NZL,1994,2550
New Zealand,NZL,1995,3000
New Zealand,NZL,1996,3500
New Zealand,NZL,1997,4000
New Zealand,NZL,1998,5300
New Zealand,NZL,1999,9300
New Zealand,NZL,2000,12606
New Zealand,NZL,2001,12060
New Zealand,NZL,2002,13398
New Zealand,NZL,2003,10642
New Zealand,NZL,2004,11752
New Zealand,NZL,2005,22970
New Zealand,NZL,2006,15000
New Zealand,NZL,2007,20000
New Zealand,NZL,2008,17000
New Zealand,NZL,2009,20500
New Zealand,NZL,2010,21000
New Zealand,NZL,2011,21500
New Zealand,NZL,2012,25500
New Zealand,NZL,2013,24600
New Zealand,NZL,2014,37900
New Zealand,NZL,2015,29000
New Zealand,NZL,2016,35000
New Zealand,NZL,2017,27000
New Zealand,NZL,2018,32885.08
New Zealand,NZL,2019,35041.91
New Zealand,NZL,2020,37589.85
New Zealand,NZL,2021,38320.81
North America,,1961,400404
North America,,1962,404860
North America,,1963,436547
North America,,1964,428806
North America,,1965,479085
North America,,1966,471332
North America,,1967,512250
North America,,1968,499068
North America,,1969,534021
North America,,1970,532458
North America,,1971,579618
North America,,1972,554104
North America,,1973,655012
North America,,1974,620572
North America,,1975,659404
North America,,1976,709184
North America,,1977,743577
North America,,1978,840328
North America,,1979,760502
North America,,1980,980141
North America,,1981,929857
North America,,1982,1013051
North America,,1983,991151
North America,,1984,962830
North America,,1985,1041560
North America,,1986,1212805
North America,,1987,1013735
North America,,1988,1147601
North America,,1989,903410
North America,,1990,1005335
North America,,1991,1136195.2
North America,,1992,1156412
North America,,1993,1007862.8
North America,,1994,1141787.8
North America,,1995,1165745.5
North America,,1996,1179165.9
North America,,1997,1114307.1
North America,,1998,1238157.5
North America,,1999,1273905.4
North America,,2000,1359252.9
North America,,2001,1399997.9
North America,,2002,1371973.1
North America,,2003,1551843.9
North America,,2004,1522970.4
North America,,2005,1571483.8
North America,,2006,1779368.4
North America,,2007,1702438.4
North America,,2008,1623026.4
North America,,2009,1862230.4
North America,,2010,1740994.8
North America,,2011,1962826.4
North America,,2012,2046974.9
North America,,2013,2243396.8
North America,,2014,2450492.2
North America,,2015,2724074
North America,,2016,3135322.2
North America,,2017,3334934.8
North America,,2018,3460800.5
North America,,2019,3498711.5
North America,,2020,3581470.2
North America,,2021,3660116.8
Northern Africa (FAO),,1961,1000
Northern Africa (FAO),,1962,1000
Northern Africa (FAO),,1963,1000
Northern Africa (FAO),,1964,1000
Northern Africa (FAO),,1965,1000
Northern Africa (FAO),,1966,1000
Northern Africa (FAO),,1967,1000
Northern Africa (FAO),,1968,1000
Northern Africa (FAO),,1969,1000
Northern Africa (FAO),,1970,1000
Northern Africa (FAO),,1971,1000
Northern Africa (FAO),,1972,1000
Northern Africa (FAO),,1973,1000
Northern Africa (FAO),,1974,1000
Northern Africa (FAO),,1975,1000
Northern Africa (FAO),,1976,1000
Northern Africa (FAO),,1977,1000
Northern Africa (FAO),,1978,1000
Northern Africa (FAO),,1979,1000
Northern Africa (FAO),,1980,1000
Northern Africa (FAO),,1981,1000
Northern Africa (FAO),,1982,1000
Northern Africa (FAO),,1983,1000
Northern Africa (FAO),,1984,1000
Northern Africa (FAO),,1985,2000
Northern Africa (FAO),,1986,2500
Northern Africa (FAO),,1987,3000
Northern Africa (FAO),,1988,3500
Northern Africa (FAO),,1989,4000
Northern Africa (FAO),,1990,4500
Northern Africa (FAO),,1991,5000
Northern Africa (FAO),,1992,5500
Northern Africa (FAO),,1993,6000
Northern Africa (FAO),,1994,7000
Northern Africa (FAO),,1995,8000
Northern Africa (FAO),,1996,9000
Northern Africa (FAO),,1997,10000
Northern Africa (FAO),,1998,11225
Northern Africa (FAO),,1999,13225
Northern Africa (FAO),,2000,13230
Northern Africa (FAO),,2001,13843.03
Northern Africa (FAO),,2002,13744.47
Northern Africa (FAO),,2003,14750
Northern Africa (FAO),,2004,15955.53
Northern Africa (FAO),,2005,13661.07
Northern Africa (FAO),,2006,16666.62
Northern Africa (FAO),,2007,17168.18
Northern Africa (FAO),,2008,19530.75
Northern Africa (FAO),,2009,26283.33
Northern Africa (FAO),,2010,33933.93
Northern Africa (FAO),,2011,33813.54
Northern Africa (FAO),,2012,54640
Northern Africa (FAO),,2013,28385.3
Northern Africa (FAO),,2014,32207.16
Northern Africa (FAO),,2015,43049.6
Northern Africa (FAO),,2016,42579.41
Northern Africa (FAO),,2017,42024.5
Northern Africa (FAO),,2018,51493.39
Northern Africa (FAO),,2019,54901.32
Northern Africa (FAO),,2020,70265.96
Northern Africa (FAO),,2021,82693.89
Northern America (FAO),,1961,51342
Northern America (FAO),,1962,47382
Northern America (FAO),,1963,55579
Northern America (FAO),,1964,33752
Northern America (FAO),,1965,55681
Northern America (FAO),,1966,55704
Northern America (FAO),,1967,73400
Northern America (FAO),,1968,47811
Northern America (FAO),,1969,67319
Northern America (FAO),,1970,41854
Northern America (FAO),,1971,78190
Northern America (FAO),,1972,41646
Northern America (FAO),,1973,81354
Northern America (FAO),,1974,67374
Northern America (FAO),,1975,79748
Northern America (FAO),,1976,128525
Northern America (FAO),,1977,106775
Northern America (FAO),,1978,132540
Northern America (FAO),,1979,92800
Northern America (FAO),,1980,243850
Northern America (FAO),,1981,165830
Northern America (FAO),,1982,214730
Northern America (FAO),,1983,248570
Northern America (FAO),,1984,208200
Northern America (FAO),,1985,171000
Northern America (FAO),,1986,274900
Northern America (FAO),,1987,189600
Northern America (FAO),,1988,175100
Northern America (FAO),,1989,126100
Northern America (FAO),,1990,141500
Northern America (FAO),,1991,167800
Northern America (FAO),,1992,264535
Northern America (FAO),,1993,130362
Northern America (FAO),,1994,158750
Northern America (FAO),,1995,172360
Northern America (FAO),,1996,173000
Northern America (FAO),,1997,161270
Northern America (FAO),,1998,144500
Northern America (FAO),,1999,166288
Northern America (FAO),,2000,217091
Northern America (FAO),,2001,202570
Northern America (FAO),,2002,180894
Northern America (FAO),,2003,211737
Northern America (FAO),,2004,162749
Northern America (FAO),,2005,283405
Northern America (FAO),,2006,247000
Northern America (FAO),,2007,193100
Northern America (FAO),,2008,105230
